CustomerID,Recency,Tenure,Frequency,Monetary
12346.0,5203,1,2,5342.4
12347.0,4880,365,7,431501.0
12348.0,4953,282,4,82378.47
12349.0,4896,1,1,176075.12
12350.0,5188,1,1,48173.37
12352.0,4914,260,11,241567.46
12353.0,5082,1,1,4357.89
12354.0,5110,1,1,161522.49
12355.0,5092,1,1,37648.28
12356.0,4900,302,3,161617.98
12357.0,4911,1,1,366359.39999999997
12358.0,4879,149,2,39673.670000000006
12359.0,4885,323,6,672864.29
12360.0,4930,148,3,306242.38
12361.0,5165,1,1,30437.8
12362.0,4881,292,13,688511.11
12363.0,4987,132,2,53756.56
12364.0,4885,104,4,215049.54
12365.0,5169,1,3,59638.3
12367.0,4882,1,1,25839.440000000002
12370.0,4929,309,4,417753.02999999997
12371.0,4922,14,2,167307.32
12372.0,4949,224,3,115169.81
12373.0,5189,1,1,28312.370000000003
12374.0,4903,1,1,66577.75
12375.0,4880,95,3,36360.4
12377.0,5193,39,2,164885.7
12378.0,5007,1,1,604145.45
12379.0,4959,88,3,105708.76
12380.0,4899,164,5,283392.46
12381.0,4882,115,6,206368.76
12383.0,5062,167,6,222610.77
12384.0,4906,92,3,66557.46
12386.0,5215,29,2,28316.56
12388.0,4893,311,6,252667.99
12390.0,4957,1,1,66785.3
12391.0,4899,1,1,253598.89
12393.0,4950,260,4,178735.91
12394.0,4941,153,2,60148.57
12395.0,4893,355,15,427347.96
12397.0,4913,99,2,278068.08999999997
12398.0,4923,1,1,204266.06
12399.0,4997,142,4,158016.72
12401.0,5181,1,1,17283.4
12402.0,5201,1,1,36552.16
12403.0,4927,1,2,13749.32
12405.0,5026,1,1,122187.79000000001
12406.0,4900,161,3,310029.79
12407.0,4927,214,5,186352.68
12408.0,4910,227,9,253373.33
12409.0,4956,103,7,324698.54
12410.0,5179,7,3,61744.66
12412.0,4952,94,3,159888.55000000002
12413.0,4944,270,5,109854.74
12414.0,5095,93,3,55774.39
12415.0,4902,313,26,1944187.0
12417.0,4881,354,12,532728.74
12418.0,4990,1,1,108728.73
12420.0,4941,1,1,60791.87
12421.0,4893,303,5,120314.6
12422.0,4973,229,3,89740.0
12423.0,4878,352,9,299025.94
12424.0,5040,1,2,66385.45
12425.0,4956,1,1,101635.55
12426.0,5072,1,1,64423.78
12427.0,4889,360,5,105999.6
12428.0,4903,257,12,780310.63
12429.0,4887,356,4,219920.34
12430.0,4921,1,1,13697.39
12431.0,4913,338,18,541433.7
12432.0,4920,129,5,306154.57
12433.0,4878,372,7,1041010.62
12434.0,4962,276,4,152672.79
12435.0,4957,188,2,101148.54
12436.0,4977,1,1,37832.96
12437.0,4879,329,19,517110.85
12438.0,4892,125,2,272767.92
12441.0,5244,1,1,40781.32
12442.0,4881,1,1,21563.65
12444.0,4899,149,5,456209.69
12445.0,4900,1,1,9383.41
12446.0,4935,1,1,112599.03
12447.0,5121,1,1,66037.09
12448.0,4922,1,1,55133.65
12449.0,4900,164,4,445251.36
12450.0,5034,17,2,20098.9
12451.0,4888,313,6,817653.44
12452.0,4894,1,3,42101.1
12453.0,5012,1,1,119409.38
12454.0,4931,2,2,82346.66
12455.0,4951,223,6,229091.6
12456.0,4922,210,4,382840.43
12457.0,4936,180,12,179996.08
12458.0,4949,213,2,87334.81
12461.0,4972,60,2,93725.56999999999
12462.0,4880,300,4,196093.01
12463.0,4924,195,7,247879.52
12464.0,4888,299,8,60952.03
12465.0,4885,161,3,111615.44
12468.0,5021,173,3,104308.31
12471.0,4880,370,49,1351390.04
12472.0,4908,342,13,927503.2
12473.0,4907,162,9,467491.63
12474.0,4895,351,30,1198462.21
12475.0,4931,1,1,82538.12
12476.0,4879,359,20,671115.8
12477.0,4900,288,9,799397.41
12478.0,4881,1,1,100444.79
12479.0,4881,7,3,99937.72
12480.0,4906,307,4,390183.74
12481.0,4900,342,11,567524.67
12483.0,4895,322,13,198902.62
12484.0,4910,303,8,856352.98
12488.0,4887,65,3,116253.34
